                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5383,                  2.403,                 2.3813,                 0.5533,                0.68593,                0.61791,                0.34822,                 1.4474,                 1.3998,                 2.5149,             0.00033251,             0.00033251,             0.00033251
                      2,                 1.4814,                 1.5793,                 2.4087,                0.60558,                0.75221,                0.68624,                0.41201,                 1.3197,                 1.2167,                 2.5082,             0.00065925,             0.00065925,             0.00065925
                      3,                 1.4701,                 1.4976,                 2.4121,                0.55725,                0.72983,                0.64784,                0.39291,                 1.3325,                 1.2955,                 2.3746,              0.0009794,              0.0009794,              0.0009794
                      4,                 1.4519,                 1.4338,                 2.3784,                0.66083,                0.77468,                0.71966,                0.43536,                 1.3515,                 1.1037,                 2.3567,              0.0009703,              0.0009703,              0.0009703
                      5,                  1.405,                  1.348,                 2.3433,                0.63526,                0.79264,                0.72088,                0.45617,                 1.2515,                 1.0728,                 2.2146,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.3451,                 1.3035,                 2.2774,                0.65044,                0.78081,                0.73501,                0.46851,                 1.2004,                 1.0587,                 2.2919,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.3282,                 1.2647,                   2.26,                0.66469,                0.81974,                0.74169,                0.47961,                 1.1692,                0.99818,                 2.1336,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.3018,                 1.2104,                 2.2428,                0.67201,                0.81546,                0.76166,                0.50939,                 1.1441,                0.96946,                 2.1618,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.2767,                 1.1886,                 2.2204,                0.69121,                0.82996,                0.76688,                  0.521,                 1.1188,                0.91791,                 2.0905,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.2653,                 1.1702,                 2.1901,                0.68773,                0.80645,                0.77309,                0.52296,                 1.0878,                0.94777,                 2.1095,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.2319,                 1.1378,                 2.1532,                 0.6994,                0.80321,                 0.7855,                0.53688,                 1.0752,                 0.9203,                 2.0661,               0.000901,               0.000901,               0.000901
                     12,                 1.2203,                 1.1169,                 2.1475,                0.74117,                0.83516,                0.78771,                0.53519,                 1.0819,                0.89242,                 2.0247,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.2016,                   1.08,                 2.1189,                0.73231,                0.86478,                 0.8084,                0.56144,                 1.0415,                0.85755,                 2.0084,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.1809,                 1.0696,                 2.1071,                0.74387,                0.83523,                0.80015,                0.56241,                  1.019,                0.85469,                 1.9787,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.1621,                  1.045,                 2.0819,                0.75257,                0.83802,                0.81039,                0.57049,                 1.0033,                0.83455,                  1.979,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.1487,                 1.0181,                 2.0517,                0.76018,                0.84272,                0.82501,                0.57942,                  1.034,                0.81224,                 1.9675,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.1515,                 1.0349,                 2.0626,                0.76072,                0.84128,                0.82463,                 0.5929,                0.98882,                0.82233,                 1.9588,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.1297,                 1.0123,                 2.0455,                0.77315,                 0.8325,                0.84287,                0.59721,                0.97555,                0.80134,                 1.9053,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.1178,                 1.0045,                 2.0168,                0.77044,                0.84806,                0.83405,                0.59779,                0.99246,                0.78898,                 1.8965,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.1126,                0.98409,                 2.0207,                0.79881,                0.83935,                0.85114,                0.60411,                0.98797,                0.78967,                 1.9049,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.1063,                0.97509,                 2.0025,                0.79183,                 0.8399,                0.85037,                0.60583,                0.96568,                0.77629,                  1.904,               0.000802,               0.000802,               0.000802
                     22,                 1.0974,                0.97104,                 2.0109,                0.79193,                0.83425,                0.85657,                0.61446,                0.97871,                0.78699,                 1.9047,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.0872,                0.95362,                 1.9884,                 0.7724,                0.86021,                 0.8418,                0.60632,                0.95966,                0.77143,                 1.8724,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.0761,                0.94616,                 1.9704,                0.80372,                0.84182,                0.85633,                0.62258,                0.95056,                0.74676,                 1.8667,              0.0007723,              0.0007723,              0.0007723
                     25,                  1.068,                0.93126,                 1.9583,                 0.8172,                0.83703,                 0.8629,                0.63138,                0.93622,                0.74023,                 1.8415,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.0508,                0.90839,                 1.9546,                0.80485,                0.84571,                0.86373,                0.63512,                0.90595,                0.72712,                 1.8319,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.0452,                0.91284,                 1.9541,                  0.819,                0.85797,                 0.8748,                0.64361,                0.90412,                0.72912,                 1.8154,              0.0007426,              0.0007426,              0.0007426
                     28,                  1.036,                0.90218,                 1.9376,                0.82724,                0.84079,                 0.8704,                0.64209,                0.91658,                0.72472,                 1.8329,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.0384,                0.89194,                 1.9244,                0.81883,                0.84744,                0.86778,                0.64251,                0.91875,                0.71632,                  1.811,              0.0007228,              0.0007228,              0.0007228
                     30,                 1.0226,                0.88128,                 1.9307,                0.83135,                0.85157,                0.88156,                0.65134,                0.91167,                0.70808,                 1.8151,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.0149,                0.87283,                  1.908,                0.83396,                0.84234,                0.87889,                0.64791,                0.90286,                0.70606,                  1.806,               0.000703,               0.000703,               0.000703
                     32,                 1.0096,                 0.8692,                 1.8817,                0.83945,                0.84234,                0.87934,                0.65887,                0.87998,                0.69375,                 1.8041,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.0079,                0.85403,                 1.9126,                0.84912,                0.84946,                0.88801,                0.66104,                0.89835,                0.68939,                 1.7967,              0.0006832,              0.0006832,              0.0006832
                     34,                0.99984,                0.86158,                 1.8841,                0.84132,                0.85687,                0.88792,                0.66165,                0.89828,                0.68286,                 1.7932,              0.0006733,              0.0006733,              0.0006733
                     35,                0.98338,                0.83026,                  1.862,                0.85661,                0.84738,                0.88667,                0.66624,                0.88647,                0.67454,                 1.8068,              0.0006634,              0.0006634,              0.0006634
                     36,                0.98236,                0.83281,                 1.8662,                0.84064,                0.85529,                 0.8918,                0.67197,                0.88571,                0.67064,                 1.7945,              0.0006535,              0.0006535,              0.0006535
                     37,                0.98316,                0.83683,                 1.8614,                0.87316,                0.83665,                0.89099,                0.66927,                  0.878,                0.66945,                 1.7821,              0.0006436,              0.0006436,              0.0006436
                     38,                0.97645,                0.82642,                 1.8676,                0.85293,                0.84667,                0.89128,                0.66856,                0.87818,                0.68332,                 1.7699,              0.0006337,              0.0006337,              0.0006337
                     39,                0.95854,                0.81652,                 1.8509,                0.86003,                0.85018,                0.89772,                0.67889,                0.86082,                0.66921,                  1.769,              0.0006238,              0.0006238,              0.0006238
                     40,                0.96961,                0.81082,                 1.8655,                0.88025,                 0.8384,                 0.8988,                0.67809,                0.87404,                0.65328,                 1.7765,              0.0006139,              0.0006139,              0.0006139
                     41,                0.95089,                0.80178,                 1.8462,                0.87416,                0.84511,                0.89829,                0.67907,                0.85585,                0.65101,                 1.7698,               0.000604,               0.000604,               0.000604
                     42,                0.95096,                0.79533,                  1.841,                0.85807,                0.86247,                0.89757,                 0.6802,                0.86366,                0.65135,                 1.7949,              0.0005941,              0.0005941,              0.0005941
                     43,                0.94313,                0.79002,                  1.823,                0.88037,                0.86535,                0.91123,                0.68921,                0.85673,                0.63265,                 1.7648,              0.0005842,              0.0005842,              0.0005842
                     44,                0.93494,                0.77853,                 1.8033,                0.86959,                0.85605,                0.90034,                0.68728,                0.85797,                0.64429,                 1.7704,              0.0005743,              0.0005743,              0.0005743
                     45,                0.93204,                0.77466,                 1.8127,                0.85829,                0.88067,                0.90601,                0.69093,                0.85381,                0.62532,                 1.7489,              0.0005644,              0.0005644,              0.0005644
                     46,                0.92852,                0.77178,                 1.8028,                0.86985,                0.86441,                 0.9072,                0.69216,                0.84667,                0.63541,                 1.7747,              0.0005545,              0.0005545,              0.0005545
                     47,                0.91957,                0.75699,                  1.792,                0.87392,                0.86563,                0.91146,                0.69795,                0.83288,                0.63081,                 1.7404,              0.0005446,              0.0005446,              0.0005446
                     48,                0.91073,                0.76134,                 1.8101,                0.86828,                0.86977,                0.91053,                0.69533,                0.83146,                0.62586,                 1.7306,              0.0005347,              0.0005347,              0.0005347
                     49,                 0.9043,                0.75054,                 1.7904,                0.88193,                0.86392,                0.91278,                0.70357,                0.82137,                0.61605,                 1.7446,              0.0005248,              0.0005248,              0.0005248
                     50,                0.89938,                0.73538,                 1.7753,                0.88591,                0.86122,                0.91532,                0.70442,                0.82647,                0.61743,                 1.7428,              0.0005149,              0.0005149,              0.0005149
                     51,                0.89016,                 0.7309,                 1.7655,                 0.8863,                0.86622,                0.91037,                0.70057,                0.82726,                 0.6122,                 1.7395,               0.000505,               0.000505,               0.000505
                     52,                0.88764,                0.72879,                 1.7608,                 0.8853,                0.86535,                0.91378,                0.70503,                0.82552,                 0.6157,                 1.7461,              0.0004951,              0.0004951,              0.0004951
                     53,                0.89056,                0.73704,                 1.7722,                0.89869,                0.86273,                0.91566,                0.70713,                0.81846,                 0.6122,                 1.7316,              0.0004852,              0.0004852,              0.0004852
                     54,                0.87273,                0.71858,                 1.7496,                0.89509,                0.86705,                0.91451,                0.70958,                0.81706,                0.60804,                 1.7276,              0.0004753,              0.0004753,              0.0004753
                     55,                0.87351,                0.71666,                 1.7395,                0.88275,                0.87152,                0.91417,                0.70551,                0.81544,                0.61091,                 1.7434,              0.0004654,              0.0004654,              0.0004654
                     56,                0.86933,                0.71676,                 1.7429,                0.87707,                0.88065,                0.91655,                0.71098,                0.81129,                0.60538,                 1.7342,              0.0004555,              0.0004555,              0.0004555
                     57,                0.87121,                0.71329,                 1.7428,                0.88371,                 0.8829,                0.91802,                0.71108,                 0.8145,                0.59838,                 1.7373,              0.0004456,              0.0004456,              0.0004456
                     58,                 0.8559,                 0.7011,                 1.7353,                0.89219,                0.86802,                0.91362,                0.71397,                0.80288,                0.60124,                 1.7345,              0.0004357,              0.0004357,              0.0004357
                     59,                0.83912,                0.69185,                  1.735,                0.89282,                0.87324,                0.91547,                0.71185,                0.81099,                0.59355,                 1.7359,              0.0004258,              0.0004258,              0.0004258
                     60,                0.85253,                0.68984,                 1.7323,                0.89032,                0.87011,                 0.9163,                0.71396,                0.80107,                 0.5951,                 1.7223,              0.0004159,              0.0004159,              0.0004159
                     61,                0.84171,                0.68121,                 1.7083,                 0.8871,                0.88265,                0.91545,                0.70929,                0.80774,                0.59874,                 1.7483,               0.000406,               0.000406,               0.000406
                     62,                 0.8472,                0.68484,                 1.7256,                0.88786,                0.87531,                0.91954,                0.71492,                0.80663,                0.59029,                 1.7311,              0.0003961,              0.0003961,              0.0003961
                     63,                0.83292,                0.67544,                 1.7029,                0.89749,                 0.8722,                0.91864,                0.71557,                 0.7984,                0.59762,                 1.7149,              0.0003862,              0.0003862,              0.0003862
                     64,                0.83209,                0.67468,                 1.7144,                0.88645,                 0.8767,                0.91767,                0.71357,                 0.8012,                0.58576,                 1.7267,              0.0003763,              0.0003763,              0.0003763
                     65,                0.83188,                0.67545,                  1.703,                  0.895,                0.87401,                0.91921,                 0.7136,                0.80156,                0.59162,                 1.7272,              0.0003664,              0.0003664,              0.0003664
                     66,                0.81892,                0.66471,                 1.6874,                0.89556,                0.86872,                0.92006,                0.71747,                0.79953,                 0.5859,                 1.7301,              0.0003565,              0.0003565,              0.0003565
                     67,                0.81659,                0.65073,                 1.6901,                0.89906,                0.87063,                0.92059,                0.71691,                0.80258,                0.58634,                 1.7423,              0.0003466,              0.0003466,              0.0003466
                     68,                0.81873,                0.66061,                 1.6905,                0.89258,                0.88049,                0.92079,                0.71786,                0.80113,                0.59209,                 1.7284,              0.0003367,              0.0003367,              0.0003367
                     69,                0.81382,                0.65345,                 1.6888,                0.90024,                0.87271,                0.91858,                0.71904,                0.79949,                0.59091,                  1.733,              0.0003268,              0.0003268,              0.0003268
                     70,                0.80316,                0.64406,                 1.6761,                0.89231,                0.88035,                0.92144,                0.71753,                0.80473,                0.58746,                 1.7268,              0.0003169,              0.0003169,              0.0003169
                     71,                0.80773,                0.64421,                 1.6684,                 0.8934,                0.87321,                0.92025,                0.71935,                0.79878,                0.58462,                 1.7481,               0.000307,               0.000307,               0.000307
                     72,                0.80014,                0.64482,                 1.6732,                0.89892,                  0.868,                0.92041,                0.72112,                0.79337,                0.58073,                 1.7332,              0.0002971,              0.0002971,              0.0002971
                     73,                0.78444,                0.62551,                 1.6475,                0.88826,                0.87937,                0.92199,                 0.7254,                0.79447,                0.57751,                 1.7383,              0.0002872,              0.0002872,              0.0002872
                     74,                0.78105,                0.62669,                  1.661,                0.90214,                0.87522,                0.92079,                0.72658,                0.78636,                0.57943,                 1.7232,              0.0002773,              0.0002773,              0.0002773
                     75,                0.78045,                0.62096,                 1.6546,                    0.9,                 0.8736,                0.92216,                0.72712,                0.78993,                0.57532,                 1.7272,              0.0002674,              0.0002674,              0.0002674
                     76,                0.77873,                0.62487,                 1.6612,                0.89908,                0.87565,                 0.9227,                0.72585,                0.79245,                0.57231,                 1.7329,              0.0002575,              0.0002575,              0.0002575
                     77,                0.77216,                0.61573,                 1.6423,                0.89931,                0.88027,                0.92399,                  0.727,                0.78973,                0.57209,                 1.7323,              0.0002476,              0.0002476,              0.0002476
                     78,                0.77915,                0.61374,                 1.6424,                0.90708,                0.86946,                0.92076,                 0.7273,                0.78545,                0.57663,                 1.7293,              0.0002377,              0.0002377,              0.0002377
                     79,                0.76392,                0.60993,                  1.641,                0.90036,                0.87956,                0.92097,                0.72855,                0.77973,                0.57084,                 1.7248,              0.0002278,              0.0002278,              0.0002278
                     80,                0.76374,                0.60389,                 1.6316,                0.89848,                0.87831,                0.92299,                0.72923,                0.78296,                0.56732,                 1.7266,              0.0002179,              0.0002179,              0.0002179
                     81,                0.75527,                0.60297,                 1.6261,                 0.9031,                0.87614,                0.92423,                0.73068,                0.78019,                0.56441,                 1.7258,               0.000208,               0.000208,               0.000208
                     82,                0.75934,                0.60181,                 1.6322,                0.90054,                0.87779,                0.92434,                0.73057,                0.78659,                0.56969,                   1.73,              0.0001981,              0.0001981,              0.0001981
