                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.94871,                0.82735,                 1.6577,                0.88904,                0.86306,                0.90571,                0.69143,                0.80208,                0.70804,                 1.6158,               0.006535,               0.006535,               0.006535
                     37,                0.94579,                0.82635,                 1.6494,                0.89194,                0.85366,                 0.9074,                0.69057,                0.80016,                0.71387,                 1.6151,               0.006436,               0.006436,               0.006436
                     38,                0.94277,                0.81443,                   1.65,                0.89017,                0.86048,                0.90608,                0.69085,                0.79526,                0.71094,                 1.6002,               0.006337,               0.006337,               0.006337
                     39,                0.94632,                0.82388,                 1.6568,                0.89444,                0.86286,                0.90851,                0.69231,                0.79443,                0.71004,                 1.6035,               0.006238,               0.006238,               0.006238
                     40,                0.93555,                0.81226,                 1.6475,                0.89043,                0.86027,                 0.9104,                0.69687,                0.78953,                 0.7023,                 1.6078,               0.006139,               0.006139,               0.006139
                     41,                0.92663,                0.80411,                 1.6362,                0.89683,                 0.8636,                0.90842,                0.69672,                0.78628,                 0.7017,                 1.6187,                0.00604,                0.00604,                0.00604
                     42,                0.92737,                0.79849,                 1.6337,                0.89144,                0.87479,                0.91047,                0.69804,                0.78089,                0.69661,                 1.6121,               0.005941,               0.005941,               0.005941
                     43,                0.92008,                0.79827,                 1.6226,                0.89442,                 0.8641,                0.90658,                0.69952,                0.77442,                0.69668,                 1.6059,               0.005842,               0.005842,               0.005842
                     44,                0.91947,                0.79033,                 1.6159,                0.88254,                0.87131,                0.90783,                0.70383,                0.76871,                0.69489,                 1.5872,               0.005743,               0.005743,               0.005743
                     45,                0.91397,                0.78865,                 1.6185,                0.88638,                0.86702,                0.90649,                0.70229,                0.76836,                0.69623,                 1.5837,               0.005644,               0.005644,               0.005644
                     46,                0.90415,                0.77077,                 1.6106,                0.87757,                0.86252,                 0.9039,                0.70155,                0.76697,                0.70028,                 1.5868,               0.005545,               0.005545,               0.005545
                     47,                0.90298,                0.77923,                 1.6152,                0.88718,                0.86019,                0.90488,                0.69824,                0.76915,                 0.6925,                 1.5956,               0.005446,               0.005446,               0.005446
                     48,                  0.897,                0.77041,                 1.6058,                0.88773,                0.86142,                0.90384,                0.70082,                0.77001,                0.69051,                 1.6023,               0.005347,               0.005347,               0.005347
                     49,                 0.8961,                 0.7651,                 1.5988,                0.89032,                0.86432,                0.90457,                0.70223,                0.76551,                 0.6883,                  1.594,               0.005248,               0.005248,               0.005248
                     50,                0.89309,                0.76769,                 1.6004,                0.88907,                0.86458,                0.90339,                0.70329,                0.76617,                0.69282,                 1.5969,               0.005149,               0.005149,               0.005149
                     51,                0.88243,                0.75337,                 1.5888,                0.89447,                0.86403,                0.90332,                0.70075,                 0.7651,                0.68747,                 1.5977,                0.00505,                0.00505,                0.00505
                     52,                0.88492,                0.74929,                 1.5902,                0.89488,                0.86397,                0.90431,                0.70233,                0.76626,                0.68802,                 1.5975,               0.004951,               0.004951,               0.004951
                     53,                0.87311,                0.74109,                 1.5859,                0.89714,                0.86359,                0.90357,                0.70493,                 0.7623,                0.68336,                 1.5952,               0.004852,               0.004852,               0.004852
                     54,                0.86726,                0.73225,                 1.5741,                0.88836,                0.86894,                0.90644,                0.70747,                0.75915,                0.67782,                 1.5993,               0.004753,               0.004753,               0.004753
                     55,                0.86992,                 0.7349,                 1.5723,                0.88768,                0.86565,                0.90649,                 0.7084,                0.75872,                0.67509,                 1.6027,               0.004654,               0.004654,               0.004654
                     56,                0.86607,                 0.7361,                 1.5808,                0.88944,                0.86423,                0.90721,                0.71121,                0.75694,                0.67312,                 1.6005,               0.004555,               0.004555,               0.004555
                     57,                0.85817,                0.73007,                 1.5687,                0.88123,                 0.8657,                0.90609,                0.70995,                0.75475,                0.67495,                 1.5944,               0.004456,               0.004456,               0.004456
                     58,                0.85518,                0.72268,                 1.5551,                0.88651,                0.86594,                0.90582,                0.70986,                0.75493,                 0.6747,                 1.5939,               0.004357,               0.004357,               0.004357
                     59,                0.84873,                0.71699,                 1.5492,                0.88873,                0.86819,                0.90611,                 0.7104,                0.75407,                0.67347,                 1.5933,               0.004258,               0.004258,               0.004258
                     60,                0.85011,                0.71701,                 1.5604,                0.88966,                0.87146,                0.90771,                0.71043,                0.75448,                0.67184,                 1.5931,               0.004159,               0.004159,               0.004159
                     61,                0.83708,                0.70475,                 1.5442,                 0.8952,                0.86754,                0.90849,                0.71159,                0.75372,                0.66995,                 1.5961,                0.00406,                0.00406,                0.00406
                     62,                0.83747,                0.70526,                 1.5485,                 0.8973,                0.86706,                0.90849,                0.71198,                0.75309,                0.66903,                 1.5941,               0.003961,               0.003961,               0.003961
                     63,                0.83487,                0.69839,                 1.5403,                 0.8947,                0.86726,                 0.9088,                0.71275,                0.75268,                0.66742,                 1.5936,               0.003862,               0.003862,               0.003862
                     64,                 0.8254,                0.68962,                 1.5317,                0.89719,                 0.8656,                0.90828,                0.71351,                0.75184,                0.66583,                 1.5949,               0.003763,               0.003763,               0.003763
                     65,                0.82318,                0.69005,                 1.5343,                0.89492,                0.86876,                0.90736,                0.71341,                0.75036,                 0.6645,                 1.5942,               0.003664,               0.003664,               0.003664
                     66,                0.81591,                 0.6784,                  1.524,                 0.8946,                0.86921,                0.90756,                 0.7146,                0.75034,                0.66167,                  1.597,               0.003565,               0.003565,               0.003565
                     67,                0.81457,                0.67992,                 1.5209,                0.89547,                0.86714,                0.90781,                0.71533,                0.75011,                0.66134,                 1.5968,               0.003466,               0.003466,               0.003466
                     68,                0.80959,                 0.6721,                 1.5162,                0.89652,                0.86699,                0.90822,                0.71588,                0.74933,                0.66034,                 1.5959,               0.003367,               0.003367,               0.003367
                     69,                 0.8107,                0.67292,                 1.5144,                0.89887,                0.86742,                0.90853,                0.71651,                 0.7485,                0.66126,                 1.5961,               0.003268,               0.003268,               0.003268
                     70,                0.80496,                 0.6718,                 1.5159,                0.89681,                0.86712,                0.90796,                0.71666,                0.74783,                0.66144,                 1.5953,               0.003169,               0.003169,               0.003169
                     71,                 0.7951,                0.66002,                 1.5001,                 0.8964,                0.87035,                0.90877,                0.71676,                0.74653,                 0.6603,                 1.5973,                0.00307,                0.00307,                0.00307
                     72,                0.79944,                0.65924,                  1.509,                0.89572,                0.86926,                0.90876,                0.71693,                0.74612,                0.66029,                 1.5972,               0.002971,               0.002971,               0.002971
                     73,                0.79138,                 0.6534,                 1.5081,                0.89499,                0.86956,                0.90906,                0.71765,                0.74597,                0.65955,                 1.5997,               0.002872,               0.002872,               0.002872
                     74,                0.78882,                0.64879,                 1.4959,                0.89514,                0.86956,                0.90919,                0.71865,                0.74504,                0.65827,                 1.6008,               0.002773,               0.002773,               0.002773
                     75,                0.78155,                0.64112,                 1.4835,                0.89477,                0.87122,                 0.9094,                0.71917,                0.74504,                0.65734,                 1.6015,               0.002674,               0.002674,               0.002674
                     76,                 0.7753,                0.63718,                 1.4871,                0.89585,                0.87043,                 0.9096,                0.71928,                  0.745,                0.65781,                 1.6021,               0.002575,               0.002575,               0.002575
                     77,                0.77206,                0.63796,                 1.4784,                0.89759,                0.87089,                0.90953,                 0.7199,                0.74526,                0.65768,                 1.6025,               0.002476,               0.002476,               0.002476
                     78,                0.76685,                0.63179,                 1.4706,                0.89753,                0.87192,                0.90986,                0.72013,                0.74494,                0.65694,                 1.6032,               0.002377,               0.002377,               0.002377
                     79,                 0.7603,                0.62796,                 1.4731,                0.89725,                0.87097,                0.90897,                0.72052,                0.74448,                0.65646,                  1.604,               0.002278,               0.002278,               0.002278
                     80,                  0.765,                0.62254,                 1.4807,                0.89821,                0.87049,                0.91007,                0.72083,                0.74485,                0.65586,                 1.6048,               0.002179,               0.002179,               0.002179
                     81,                0.75473,                0.61729,                 1.4669,                0.89868,                0.86946,                0.91007,                0.72035,                0.74413,                0.65485,                 1.6049,                0.00208,                0.00208,                0.00208
                     82,                0.75012,                0.61762,                 1.4617,                0.89822,                 0.8691,                0.91011,                0.72037,                0.74431,                0.65353,                 1.6051,               0.001981,               0.001981,               0.001981
                     83,                0.74148,                0.60443,                 1.4506,                0.89842,                   0.87,                0.91026,                0.72115,                0.74379,                0.65257,                 1.6065,               0.001882,               0.001882,               0.001882
                     84,                0.74066,                0.60387,                  1.451,                0.89882,                0.87043,                0.91093,                0.72114,                0.74359,                0.65096,                 1.6063,               0.001783,               0.001783,               0.001783
                     85,                0.73742,                0.59932,                 1.4594,                0.89821,                0.87128,                0.91109,                 0.7214,                0.74373,                0.65004,                 1.6066,               0.001684,               0.001684,               0.001684
                     86,                  0.735,                0.59676,                 1.4568,                 0.8994,                0.87118,                0.91124,                0.72164,                0.74311,                0.64876,                 1.6075,               0.001585,               0.001585,               0.001585
                     87,                0.72593,                0.59431,                 1.4404,                0.89876,                0.87253,                0.91171,                0.72203,                0.74291,                0.64814,                 1.6082,               0.001486,               0.001486,               0.001486
                     88,                0.72441,                0.59065,                 1.4424,                0.89852,                0.87148,                0.91129,                0.72242,                0.74291,                0.64693,                 1.6093,               0.001387,               0.001387,               0.001387
                     89,                0.72007,                0.58643,                 1.4368,                0.89909,                0.87213,                0.91143,                0.72208,                0.74268,                0.64585,                 1.6099,               0.001288,               0.001288,               0.001288
                     90,                0.71109,                0.58163,                  1.435,                0.89834,                0.87289,                0.91176,                0.72249,                0.74266,                0.64515,                   1.61,               0.001189,               0.001189,               0.001189
                     91,                0.58075,                0.43639,                 1.2781,                0.89934,                0.87386,                  0.912,                0.72285,                0.74177,                 0.6447,                 1.6099,                0.00109,                0.00109,                0.00109
                     92,                0.57018,                0.42328,                 1.2623,                 0.8987,                 0.8739,                0.91155,                0.72262,                0.74172,                0.64379,                 1.6104,               0.000991,               0.000991,               0.000991
                     93,                0.56144,                0.41877,                  1.253,                0.89961,                0.87355,                0.91148,                0.72306,                0.74103,                0.64372,                 1.6117,               0.000892,               0.000892,               0.000892
                     94,                0.55766,                 0.4135,                 1.2533,                0.90028,                0.87254,                 0.9118,                0.72345,                0.74101,                0.64362,                 1.6124,               0.000793,               0.000793,               0.000793
                     95,                0.54734,                0.40774,                 1.2427,                0.90029,                  0.873,                0.91181,                0.72345,                0.74068,                0.64317,                 1.6131,               0.000694,               0.000694,               0.000694
                     96,                0.54328,                0.40445,                  1.242,                0.90081,                0.87298,                0.91154,                 0.7234,                0.74025,                 0.6425,                 1.6147,               0.000595,               0.000595,               0.000595
                     97,                0.53663,                0.39965,                  1.231,                0.90176,                0.87242,                0.91186,                0.72374,                0.74017,                0.64241,                 1.6155,               0.000496,               0.000496,               0.000496
                     98,                0.52907,                 0.3932,                 1.2227,                0.90167,                0.87255,                0.91245,                0.72509,                0.73997,                0.64162,                 1.6159,               0.000397,               0.000397,               0.000397
                     99,                0.52268,                0.38763,                 1.2221,                0.90147,                0.87345,                0.91246,                0.72557,                0.73988,                0.64099,                  1.617,               0.000298,               0.000298,               0.000298
                    100,                0.52057,                0.38543,                 1.2121,                0.90285,                0.87333,                0.91264,                0.72543,                0.73969,                 0.6405,                 1.6171,               0.000199,               0.000199,               0.000199
