                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5584,                 2.4459,                 2.3443,                0.70826,                0.75773,                 0.7054,                0.45684,                 1.1708,                 1.0909,                 2.1476,              0.0033302,              0.0033302,              0.0033302
                      2,                 1.2882,                 1.3347,                 2.0806,                 0.6831,                0.83324,                0.74025,                0.49784,                 1.0778,                0.96335,                      2,              0.0065976,              0.0065976,              0.0065976
                      3,                 1.2737,                 1.2466,                 2.0764,                0.67443,                0.78182,                0.72206,                0.46942,                 1.1557,                 1.0526,                 2.1297,              0.0097989,              0.0097989,              0.0097989
                      4,                 1.2905,                 1.2474,                 2.0921,                  0.727,                0.83583,                0.76822,                0.51819,                 1.0628,                0.94773,                 2.0479,               0.009703,               0.009703,               0.009703
                      5,                 1.2556,                 1.1869,                 2.0553,                0.74718,                0.83383,                0.78171,                0.51923,                 1.0703,                0.92988,                 2.0221,               0.009604,               0.009604,               0.009604
                      6,                 1.2267,                 1.1567,                 2.0201,                0.74269,                0.82053,                0.81079,                 0.5684,                 1.0021,                0.88562,                 1.9413,               0.009505,               0.009505,               0.009505
                      7,                 1.1997,                 1.1212,                 1.9925,                0.74785,                0.83108,                 0.8059,                0.55662,                0.99003,                0.87644,                 1.9148,               0.009406,               0.009406,               0.009406
                      8,                 1.1797,                  1.099,                 1.9599,                0.78759,                0.82654,                0.83065,                0.56541,                0.96768,                0.84937,                 1.8657,               0.009307,               0.009307,               0.009307
                      9,                 1.1591,                 1.0626,                 1.9341,                0.77888,                 0.8038,                0.82456,                0.56315,                0.97611,                0.85529,                 1.8479,               0.009208,               0.009208,               0.009208
                     10,                 1.1437,                  1.048,                 1.9143,                0.79312,                0.84096,                0.84762,                 0.6048,                0.92868,                0.80823,                 1.8357,               0.009109,               0.009109,               0.009109
                     11,                 1.1341,                 1.0269,                 1.8984,                0.81466,                0.82022,                0.85486,                0.59269,                0.94085,                0.81743,                 1.8586,                0.00901,                0.00901,                0.00901
                     12,                 1.1216,                  1.012,                 1.8849,                0.84575,                0.82877,                0.86882,                 0.6153,                0.91666,                0.77474,                 1.7768,               0.008911,               0.008911,               0.008911
                     13,                 1.1055,                 0.9978,                 1.8639,                 0.8394,                0.82452,                0.87168,                0.61745,                0.91709,                0.80171,                 1.8104,               0.008812,               0.008812,               0.008812
                     14,                 1.0976,                0.98709,                 1.8472,                0.83027,                0.85079,                0.87584,                0.62269,                0.90599,                0.77488,                 1.7372,               0.008713,               0.008713,               0.008713
                     15,                  1.084,                 0.9713,                 1.8445,                0.85018,                0.84822,                0.88958,                0.64068,                0.89329,                0.75155,                 1.7062,               0.008614,               0.008614,               0.008614
                     16,                 1.0776,                0.95785,                  1.822,                0.85344,                0.84533,                0.88734,                 0.6446,                0.87529,                0.75268,                 1.7258,               0.008515,               0.008515,               0.008515
                     17,                 1.0664,                0.93804,                 1.8082,                0.87304,                0.85962,                0.89837,                0.65775,                0.87318,                0.73283,                 1.7196,               0.008416,               0.008416,               0.008416
                     18,                 1.0618,                0.93018,                 1.8047,                0.86487,                0.84563,                0.88683,                0.65085,                0.87012,                0.72517,                  1.726,               0.008317,               0.008317,               0.008317
                     19,                 1.0621,                 0.9321,                 1.8094,                0.86625,                0.86805,                0.89629,                0.65569,                0.84994,                0.72963,                 1.7103,               0.008218,               0.008218,               0.008218
                     20,                 1.0473,                0.91402,                 1.7949,                0.87425,                 0.8713,                0.90119,                   0.66,                 0.8423,                0.71347,                  1.684,               0.008119,               0.008119,               0.008119
                     21,                 1.0342,                 0.9024,                 1.7745,                0.87712,                0.85343,                0.89948,                0.66114,                0.83301,                0.70558,                 1.6907,                0.00802,                0.00802,                0.00802
                     22,                 1.0314,                0.89574,                 1.7717,                0.89065,                0.86204,                 0.9105,                0.67743,                0.83722,                0.69539,                 1.6924,               0.007921,               0.007921,               0.007921
                     23,                 1.0235,                0.88973,                 1.7626,                0.88806,                0.86475,                0.90422,                0.67671,                0.82876,                0.68324,                 1.6633,               0.007822,               0.007822,               0.007822
                     24,                 1.0206,                 0.8808,                 1.7489,                0.88753,                0.86297,                0.90925,                0.67959,                0.81932,                0.68941,                 1.6551,               0.007723,               0.007723,               0.007723
                     25,                 1.0097,                0.86996,                 1.7421,                0.89312,                 0.8579,                0.90718,                0.68495,                0.80312,                 0.6842,                 1.6407,               0.007624,               0.007624,               0.007624
                     26,                 1.0062,                 0.8715,                 1.7573,                0.89268,                0.87021,                0.91018,                0.68067,                0.81022,                0.68713,                 1.6591,               0.007525,               0.007525,               0.007525
                     27,                 1.0031,                0.86579,                 1.7367,                0.88205,                0.87238,                0.90615,                0.67732,                0.80519,                0.68578,                 1.6468,               0.007426,               0.007426,               0.007426
                     28,                0.99279,                 0.8532,                 1.7317,                0.89113,                0.87465,                0.91259,                0.68849,                0.81084,                0.67212,                  1.646,               0.007327,               0.007327,               0.007327
                     29,                0.98945,                0.85191,                 1.7331,                0.89861,                0.87321,                0.90844,                0.68233,                0.79871,                0.67478,                 1.6438,               0.007228,               0.007228,               0.007228
                     30,                0.98428,                0.84912,                 1.7224,                0.88119,                0.88143,                0.90387,                0.68319,                0.79744,                0.67021,                 1.6334,               0.007129,               0.007129,               0.007129
                     31,                0.98236,                0.83864,                 1.7165,                0.89975,                0.87203,                0.91103,                0.69214,                0.79134,                0.66586,                  1.622,                0.00703,                0.00703,                0.00703
                     32,                0.96792,                0.83218,                 1.6987,                0.90348,                0.86736,                0.90972,                0.68697,                0.79583,                0.66992,                 1.6214,               0.006931,               0.006931,               0.006931
                     33,                0.96807,                0.83139,                 1.7035,                0.89524,                0.86773,                0.90791,                0.69118,                0.78895,                0.65986,                 1.6194,               0.006832,               0.006832,               0.006832
                     34,                0.96337,                 0.8232,                 1.7012,                0.88409,                0.88095,                0.90563,                0.69049,                0.78135,                0.66084,                 1.6125,               0.006733,               0.006733,               0.006733
                     35,                0.96386,                0.82265,                 1.6965,                0.88594,                0.87749,                0.90573,                0.69018,                0.77908,                0.65595,                 1.6223,               0.006634,               0.006634,               0.006634
                     36,                0.94768,                0.81255,                 1.6773,                0.88875,                0.88098,                0.90934,                0.69657,                0.77994,                0.65179,                 1.6327,               0.006535,               0.006535,               0.006535
