                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1276,                 1.0599,                 2.0071,                0.84481,                0.84337,                0.87937,                0.65628,                0.89177,                0.71372,                 1.7974,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.1213,                 1.0473,                 1.9911,                0.84242,                0.84066,                0.88133,                0.65206,                0.88351,                  0.714,                 1.7853,              0.0006535,              0.0006535,              0.0006535
                     37,                 1.1182,                 1.0554,                 1.9864,                0.82663,                0.84511,                0.87943,                0.65139,                0.86579,                0.72234,                 1.7774,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.1063,                 1.0496,                 1.9871,                0.84083,                0.83989,                0.88221,                0.66075,                0.87486,                 0.7126,                  1.772,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.1005,                 1.0299,                 1.9735,                 0.8355,                0.84307,                  0.885,                0.65899,                0.88384,                0.72041,                 1.8015,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.1002,                 1.0269,                 1.9793,                 0.8351,                0.84862,                0.89138,                 0.6622,                0.86184,                0.71523,                 1.7621,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.1032,                 1.0226,                 1.9668,                0.85187,                0.84831,                0.88858,                0.66363,                0.86664,                0.70962,                 1.7865,               0.000604,               0.000604,               0.000604
                     42,                 1.0915,                 1.0243,                 1.9609,                0.85296,                0.85757,                0.89545,                0.66385,                   0.87,                0.70084,                 1.7633,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.0898,                 1.0195,                 1.9505,                0.83751,                0.85072,                0.88669,                0.66368,                0.85044,                0.70677,                 1.7424,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.0827,                 1.0127,                 1.9532,                0.86156,                0.85704,                0.89057,                0.67167,                0.85118,                0.68801,                 1.7423,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.0787,                 1.0006,                  1.946,                0.85625,                0.85677,                0.89144,                0.67482,                0.84083,                0.68484,                 1.7061,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.0779,                 1.0007,                 1.9387,                0.86413,                0.85298,                0.89569,                 0.6741,                0.84013,                0.68643,                 1.7271,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.0665,                0.99358,                 1.9335,                0.86609,                0.85762,                0.89627,                0.67942,                0.83231,                0.68441,                 1.7451,              0.0005446,              0.0005446,              0.0005446
