                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.94481,                0.83345,                 1.6035,                0.89267,                0.88499,                0.91328,                 0.7024,                0.81665,                0.72405,                 1.5713,               0.006535,               0.006535,               0.006535
                     37,                0.93902,                0.81603,                 1.6081,                0.90149,                0.88612,                0.91947,                0.71329,                0.79164,                0.70601,                 1.5765,               0.006436,               0.006436,               0.006436
                     38,                0.93791,                0.81165,                 1.6008,                0.90349,                0.88878,                 0.9185,                0.71129,                0.80347,                0.70957,                 1.5803,               0.006337,               0.006337,               0.006337
                     39,                0.92858,                0.81362,                 1.5948,                0.89822,                0.88004,                 0.9152,                 0.7109,                0.80733,                0.71728,                 1.5974,               0.006238,               0.006238,               0.006238
                     40,                 0.9206,                0.80576,                 1.5913,                0.90502,                0.88138,                 0.9224,                0.72041,                0.78566,                0.69332,                 1.5826,               0.006139,               0.006139,               0.006139
                     41,                0.91562,                0.79213,                  1.583,                0.90469,                0.87882,                0.92056,                0.72654,                0.78621,                0.69122,                   1.58,                0.00604,                0.00604,                0.00604
                     42,                0.91569,                0.79105,                 1.5811,                0.90184,                0.88834,                0.91753,                0.71656,                0.79416,                0.69252,                 1.5815,               0.005941,               0.005941,               0.005941
                     43,                0.90642,                0.78375,                 1.5739,                0.90219,                0.89161,                0.91941,                0.71963,                 0.7928,                0.69427,                 1.5955,               0.005842,               0.005842,               0.005842
                     44,                 0.9078,                0.78385,                 1.5735,                0.89927,                0.89173,                 0.9184,                0.72152,                0.79041,                0.69322,                 1.5856,               0.005743,               0.005743,               0.005743
                     45,                 0.8999,                0.77058,                 1.5624,                0.89972,                0.88441,                0.91509,                0.72133,                0.78921,                0.68777,                 1.5813,               0.005644,               0.005644,               0.005644
                     46,                0.89808,                0.76649,                 1.5565,                0.90557,                0.88437,                0.91981,                0.72592,                0.78931,                0.68076,                 1.5848,               0.005545,               0.005545,               0.005545
                     47,                0.88905,                0.76499,                 1.5565,                0.90844,                0.88746,                0.91976,                0.72222,                0.77981,                0.67979,                 1.5969,               0.005446,               0.005446,               0.005446
                     48,                0.87878,                0.75512,                 1.5413,                0.91044,                0.88689,                0.92044,                0.72673,                0.77517,                0.67687,                 1.5658,               0.005347,               0.005347,               0.005347
                     49,                0.88663,                0.75757,                 1.5528,                 0.9116,                0.88658,                0.92032,                0.72821,                0.76784,                0.67662,                   1.57,               0.005248,               0.005248,               0.005248
                     50,                0.87671,                0.75803,                 1.5528,                0.91084,                0.89233,                 0.9213,                0.72731,                0.77623,                0.67139,                 1.5837,               0.005149,               0.005149,               0.005149
                     51,                0.87091,                0.74666,                 1.5402,                0.90881,                0.89216,                0.91862,                0.72532,                0.76786,                0.67915,                 1.5823,                0.00505,                0.00505,                0.00505
                     52,                0.86674,                0.74111,                 1.5327,                0.91585,                 0.8946,                0.92445,                0.73058,                0.77345,                 0.6742,                 1.5868,               0.004951,               0.004951,               0.004951
                     53,                0.86001,                0.73841,                 1.5241,                0.91096,                0.89231,                0.91824,                0.72647,                0.77411,                0.67848,                 1.5789,               0.004852,               0.004852,               0.004852
                     54,                0.85682,                0.73345,                 1.5264,                0.90332,                 0.8921,                0.91601,                0.72924,                0.76558,                0.67061,                  1.579,               0.004753,               0.004753,               0.004753
                     55,                0.84757,                0.72362,                 1.5092,                0.90719,                0.88849,                0.91762,                0.73295,                 0.7637,                0.66608,                 1.5685,               0.004654,               0.004654,               0.004654
                     56,                0.85163,                0.72794,                 1.5137,                0.89974,                0.89455,                0.91862,                0.73373,                0.76032,                 0.6654,                 1.5661,               0.004555,               0.004555,               0.004555
                     57,                0.84501,                0.71587,                 1.5124,                0.90613,                0.89028,                0.92107,                0.73772,                0.76166,                0.66071,                  1.579,               0.004456,               0.004456,               0.004456
                     58,                0.83672,                0.70507,                  1.508,                0.90607,                0.89348,                0.92148,                0.74082,                0.76267,                0.65548,                 1.5872,               0.004357,               0.004357,               0.004357
                     59,                0.83729,                0.70882,                 1.5041,                0.90666,                0.89401,                 0.9214,                0.73733,                 0.7624,                 0.6565,                 1.5919,               0.004258,               0.004258,               0.004258
                     60,                0.83454,                0.70226,                    1.5,                0.90324,                0.89452,                0.92062,                0.73698,                0.76117,                0.65499,                 1.5998,               0.004159,               0.004159,               0.004159
                     61,                0.82907,                0.70417,                 1.5027,                 0.9059,                 0.8921,                0.91982,                0.73688,                0.76172,                0.65412,                  1.613,                0.00406,                0.00406,                0.00406
                     62,                0.82092,                0.69468,                 1.4928,                0.89919,                0.89482,                0.92101,                0.73679,                0.76181,                0.65278,                  1.612,               0.003961,               0.003961,               0.003961
                     63,                0.82055,                0.69479,                 1.4952,                0.89657,                0.90036,                0.92093,                0.73453,                0.76076,                0.65034,                 1.6141,               0.003862,               0.003862,               0.003862
                     64,                0.81526,                0.69051,                 1.4882,                0.90669,                0.88687,                0.92093,                0.73525,                0.75961,                0.64827,                 1.6052,               0.003763,               0.003763,               0.003763
                     65,                0.81655,                0.68687,                 1.4859,                0.90286,                0.88997,                0.92145,                0.73591,                0.75834,                0.64493,                 1.6033,               0.003664,               0.003664,               0.003664
                     66,                0.80415,                0.67578,                 1.4736,                0.90558,                0.88866,                0.92288,                0.73672,                 0.7563,                 0.6392,                 1.6025,               0.003565,               0.003565,               0.003565
                     67,                0.80188,                0.66847,                 1.4784,                0.90984,                0.88987,                0.92517,                0.74062,                  0.755,                0.63601,                 1.6051,               0.003466,               0.003466,               0.003466
                     68,                 0.7932,                0.66348,                 1.4683,                0.91858,                0.88363,                 0.9248,                0.74176,                0.75428,                0.63671,                 1.6058,               0.003367,               0.003367,               0.003367
                     69,                0.79386,                0.66356,                 1.4721,                0.90883,                0.89248,                0.92584,                0.74151,                0.75511,                0.63235,                 1.6085,               0.003268,               0.003268,               0.003268
                     70,                0.79238,                0.65718,                 1.4628,                0.90674,                0.89731,                0.92592,                0.74332,                0.75272,                0.63129,                 1.6066,               0.003169,               0.003169,               0.003169
                     71,                0.78421,                0.64964,                 1.4571,                0.90963,                0.89733,                0.92497,                0.74471,                0.75252,                0.63112,                 1.6085,                0.00307,                0.00307,                0.00307
                     72,                0.78106,                0.65193,                 1.4608,                0.91432,                0.89454,                0.92553,                0.74501,                0.75156,                0.62841,                 1.6106,               0.002971,               0.002971,               0.002971
                     73,                0.77348,                0.64387,                 1.4483,                0.91314,                0.89882,                0.92552,                0.74661,                0.75374,                0.62687,                 1.6162,               0.002872,               0.002872,               0.002872
