                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5966,                 2.6038,                 2.3173,                0.69945,                0.76936,                0.70829,                 0.4656,                 1.2576,                 1.2377,                 2.1757,              0.0033303,              0.0033303,              0.0033303
                      2,                 1.3189,                 1.4537,                 2.0417,                0.70325,                0.81557,                0.74938,                0.50559,                  1.193,                 1.1048,                 2.0448,              0.0065977,              0.0065977,              0.0065977
                      3,                 1.2894,                 1.3272,                 2.0204,                0.69562,                0.82666,                0.74815,                  0.479,                 1.2515,                 1.1519,                 2.1362,              0.0097991,              0.0097991,              0.0097991
                      4,                 1.2957,                 1.3101,                 2.0431,                0.71548,                0.85129,                0.78324,                0.52937,                 1.1154,                 1.0713,                 2.0029,               0.009703,               0.009703,               0.009703
                      5,                 1.2555,                 1.2488,                 1.9851,                0.74752,                0.86129,                0.80321,                  0.559,                 1.0582,                 1.0071,                 1.9077,               0.009604,               0.009604,               0.009604
                      6,                 1.2355,                 1.2073,                 1.9546,                0.76301,                0.84046,                0.82086,                0.57819,                 1.0416,                0.97105,                 1.8474,               0.009505,               0.009505,               0.009505
                      7,                 1.1968,                 1.1577,                 1.9055,                   0.78,                0.84649,                0.83468,                 0.5808,                 1.0011,                0.97063,                  1.839,               0.009406,               0.009406,               0.009406
                      8,                 1.1852,                 1.1417,                 1.8864,                0.82094,                0.82957,                0.86468,                0.60279,                 1.0064,                0.91154,                 1.7875,               0.009307,               0.009307,               0.009307
                      9,                 1.1661,                 1.1141,                 1.8638,                0.80804,                0.82711,                 0.8578,                0.61858,                0.98493,                0.89778,                 1.8127,               0.009208,               0.009208,               0.009208
                     10,                 1.1517,                 1.0991,                 1.8392,                0.83486,                0.81754,                 0.8538,                0.61047,                0.96872,                0.90957,                 1.7452,               0.009109,               0.009109,               0.009109
                     11,                 1.1376,                  1.068,                 1.8292,                0.83897,                0.85802,                0.87935,                0.63225,                0.95165,                 0.8808,                 1.7856,                0.00901,                0.00901,                0.00901
                     12,                 1.1221,                 1.0546,                 1.8049,                0.85562,                0.84215,                0.88191,                0.63576,                0.97445,                0.88648,                 1.7501,               0.008911,               0.008911,               0.008911
                     13,                 1.1087,                 1.0309,                 1.7936,                0.83379,                0.86222,                 0.8826,                0.63676,                0.94862,                0.85258,                  1.747,               0.008812,               0.008812,               0.008812
                     14,                 1.1014,                 1.0218,                 1.7885,                0.84451,                0.85453,                0.87913,                0.61915,                0.94794,                0.88019,                 1.7487,               0.008713,               0.008713,               0.008713
                     15,                 1.0912,                 1.0087,                 1.7826,                0.86944,                0.85562,                0.89198,                0.63985,                 0.9436,                 0.8382,                  1.715,               0.008614,               0.008614,               0.008614
                     16,                 1.0804,                 0.9914,                 1.7618,                0.88213,                0.84241,                0.88998,                0.64536,                0.93151,                 0.8379,                 1.7316,               0.008515,               0.008515,               0.008515
                     17,                  1.068,                0.97987,                 1.7468,                0.85188,                0.86613,                0.89091,                0.65122,                0.90582,                0.84258,                 1.6992,               0.008416,               0.008416,               0.008416
                     18,                 1.0673,                0.97955,                 1.7475,                0.88797,                0.86476,                0.90481,                0.66786,                0.89754,                0.80246,                 1.6825,               0.008317,               0.008317,               0.008317
                     19,                 1.0572,                0.96078,                 1.7338,                 0.8842,                0.85939,                0.89917,                0.66578,                0.89968,                0.81337,                  1.669,               0.008218,               0.008218,               0.008218
                     20,                 1.0462,                 0.9515,                 1.7159,                0.88391,                0.85672,                0.89732,                0.66951,                0.87532,                0.79966,                 1.6901,               0.008119,               0.008119,               0.008119
                     21,                 1.0433,                0.94573,                 1.7154,                 0.8853,                0.86077,                0.90192,                0.66952,                0.87283,                0.79366,                 1.6443,                0.00802,                0.00802,                0.00802
                     22,                 1.0292,                0.92731,                 1.6993,                 0.8806,                0.86092,                0.90073,                0.67611,                0.87547,                0.79492,                 1.6706,               0.007921,               0.007921,               0.007921
                     23,                 1.0247,                 0.9211,                 1.6957,                0.88315,                0.87045,                0.90318,                0.67589,                0.86921,                0.78821,                 1.6507,               0.007822,               0.007822,               0.007822
                     24,                 1.0222,                0.92888,                 1.6967,                0.89573,                0.85866,                0.90783,                0.67535,                0.88204,                0.78541,                 1.6377,               0.007723,               0.007723,               0.007723
                     25,                 1.0084,                 0.9038,                 1.6768,                0.87781,                0.87321,                0.90671,                0.68649,                0.86139,                0.75833,                 1.6158,               0.007624,               0.007624,               0.007624
                     26,                 1.0106,                0.90066,                 1.6754,                0.88924,                0.87359,                 0.9075,                0.68325,                0.86425,                0.77153,                 1.5973,               0.007525,               0.007525,               0.007525
                     27,                      1,                0.89902,                  1.674,                 0.8995,                0.85749,                0.90336,                0.68733,                0.84875,                0.76339,                 1.6099,               0.007426,               0.007426,               0.007426
